2019-10-26 00:01:51.000,2019-10-26 00:02:36.000
2019-10-26 00:05:51.000,2019-10-26 00:06:25.000
2019-10-26 00:07:14.000,2019-10-26 00:07:59.000
2019-10-26 00:09:55.000,2019-10-26 00:10:59.000
2019-10-26 00:17:37.000,2019-10-26 00:18:28.000
2019-10-26 00:21:20.000,2019-10-26 00:22:23.000
2019-10-26 00:23:42.000,2019-10-26 00:24:47.000
2019-10-26 00:25:28.000,2019-10-26 00:26:22.000
2019-10-26 00:26:41.000,2019-10-26 00:27:35.000
2019-10-26 00:38:46.000,2019-10-26 00:39:21.000
2019-10-26 00:42:25.000,2019-10-26 00:42:37.000
2019-10-26 00:47:58.000,2019-10-26 00:49:12.000
2019-10-26 00:54:20.000,2019-10-26 00:55:30.000
2019-10-26 01:02:05.000,2019-10-26 01:02:50.000
2019-10-26 01:09:43.000,2019-10-26 01:10:18.000
2019-10-26 01:10:18.000,2019-10-26 01:10:31.000
2019-10-26 01:19:00.000,2019-10-26 01:19:16.000
2019-10-26 01:20:02.000,2019-10-26 01:21:10.000
2019-10-26 01:24:23.000,2019-10-26 01:25:10.000
2019-10-26 01:49:36.000,2019-10-26 01:52:19.000
2019-10-26 01:53:13.000,2019-10-26 01:54:00.000
2019-10-26 01:54:53.000,2019-10-26 01:55:50.000
2019-10-26 02:30:56.000,2019-10-26 02:31:07.000
2019-10-26 02:44:08.000,2019-10-26 02:45:55.000
2019-10-26 02:46:39.000,2019-10-26 02:46:51.000
2019-10-26 03:20:26.000,2019-10-26 03:21:01.000
2019-10-26 03:30:57.000,2019-10-26 03:32:01.000
2019-10-26 03:32:17.000,2019-10-26 03:32:53.000
2019-10-26 03:33:14.000,2019-10-26 03:33:56.000
2019-10-26 04:01:13.000,2019-10-26 04:02:08.000
2019-10-26 04:11:52.000,2019-10-26 04:12:44.000
2019-10-26 04:41:31.000,2019-10-26 04:43:57.000
2019-10-26 05:27:57.000,2019-10-26 05:28:28.000
2019-10-26 05:46:52.000,2019-10-26 05:48:16.000
2019-10-26 05:47:22.000,2019-10-26 05:47:53.000
2019-10-26 06:07:07.000,2019-10-26 06:07:25.000
2019-10-26 06:12:46.000,2019-10-26 06:13:10.000
2019-10-26 06:13:53.000,2019-10-26 06:14:11.000
2019-10-26 06:27:06.000,2019-10-26 06:27:24.000
2019-10-26 06:31:31.000,2019-10-26 06:31:56.000
