12062361;19,14
12062360;48,47
12062359;49,44
12062358;27,6
12062357;7,4
12062356;33,35
12062355;30,7
12062354;50,8
12062353;44,11
12062352;42,28
12062351;32,43
12062350;11,35
12062349;55,28
12062348;23,30
12062347;12,22
12062346;8,9
12062345;26,41
12062344;38,51
12062343;30,13
12062342;43,51
12062341;37,48
12062340;40,44
12062339;54,43
12062338;46,18
12062337;51,25
12062336;5,26
12062335;6,22
12062334;29,10
12062333;28,9
12062332;16,46
12062331;46,36
12062330;19,44
12062329;31,13
12062328;49,24
12062327;37,18
12062326;32,48
12062325;21,33
12062324;21,39
12062323;55,51
12062322;44,9
12062321;16,40
12062320;7,11
12062319;25,23
12062318;26,47
12062317;4,49
12062316;8,16
12062315;55,12
12062314;41,9
12062313;20,14
12062312;31,14
12062311;9,25
12062310;21,11
12062309;14,5
12062308;50,6
12062307;28,47
12062306;35,44
12062305;41,35
12062304;36,48
12062303;38,27
12062302;22,44
12062301;53,54
12062300;31,45
12062299;45,52
12062298;52,42
12062297;34,13
12062296;11,34
12062295;49,38
12062294;20,40
12062293;55,7
12062292;17,52
12062291;7,47
12062290;37,42
12062289;17,55
12062288;54,21
12062287;47,36
12062286;15,45
12062285;31,36
12062284;23,14
12062283;23,39
12062282;35,48
12062281;35,48
12062280;9,18
12062279;11,23
12062278;49,16
12062277;22,44
12062276;52,50
12062275;27,29
12062274;9,36
12062273;7,10
12062272;49,17
12062271;31,21
12062270;47,9
12062269;29,30
12062268;43,39
12062267;32,15
12062266;23,48
12062265;9,21
12062264;50,34
12062263;40,18
12062262;32,5
12062261;34,52
12062260;9,31
12062259;41,5
12062258;35,50
12062257;6,41
12062256;47,50
12062255;43,53
12062254;5,8
12062253;46,17
12062252;14,4
12062251;13,42
12062250;8,35
12062249;10,51
12062248;32,49
12062247;48,10
12062246;10,30
12062245;26,43
12062244;50,30
12062243;8,36
12062242;32,12
12062241;38,18
12062240;10,49
12062239;26,28
12062238;8,19
12062237;24,21
12062236;37,15
12062235;31,38
12062234;13,51
12062233;7,42
12062232;5,23
12062231;51,7
12062230;12,28
12062229;34,13
12062228;21,7
12062227;50,31
12062226;52,10
12062225;53,28
12062224;24,21
12062223;55,17
12062222;48,9
12062221;23,14
12062220;36,47
12062219;42,8
12062218;48,11
12062217;16,8
12062216;38,9
12062215;19,47
12062214;45,27
12062213;41,20
12062212;21,51
12062211;50,43
12062210;14,53
12062209;33,23
12062208;25,46
12062207;53,16
12062206;34,11
12062205;43,5
12062204;27,44
12062203;44,52
12062202;36,30
12062201;50,16
12062200;52,54
12062199;18,19
12062198;18,35
12062197;25,23
12062196;42,27
12062195;38,17
12062194;24,55
12062193;13,22
12062192;39,35
12062191;53,37
12062190;37,41
12062189;37,22
12062188;26,33
12062187;52,26
12062186;6,44
12062185;47,15
12062184;46,22
12062183;9,53
12062182;5,12
12062181;24,47
12062180;39,18
12062179;44,34
12062178;51,52
12062177;23,45
12062176;43,26
12062175;17,8
12062174;5,35
12062173;18,20
12062172;13,48
12062171;17,35
12062170;25,21
12062169;13,29
12062168;52,55
12062167;37,29
12062166;39,40
12062165;43,6
12062164;11,51
12062163;30,17
12062162;13,8
12062161;36,12
12062160;28,14
12062159;52,55
12062158;16,13
12062157;42,22
12062156;34,35
12062155;50,23
12062154;54,27
12062153;14,19
12062152;18,36
12062151;50,49
12062150;33,9
12062149;4,17
12062148;51,38
12062147;54,47
12062146;31,36
12062145;46,31
12062144;28,23
12062143;40,20
12062142;44,40
12062141;48,39
12062140;42,28
12062139;26,15
12062138;52,10
12062137;49,37
12062136;13,17
12062135;45,34
12062134;23,7
12062133;42,43
12062132;33,20
12062131;23,14
12062130;12,17
12062129;9,6
12062128;51,48
12062127;15,10
12062126;15,43
12062125;4,46
12062124;25,14
12062123;22,40
12062122;54,18
12062121;14,49
12062120;54,51
12062119;50,29
12062118;36,17
12062117;5,10
12062116;18,15
12062115;28,33
12062114;30,4
12062113;5,49
12062112;44,11
12062111;39,18
12062110;53,18
12062109;16,25
12062108;12,19
12062107;9,31
12062106;11,25
12062105;53,20
12062104;45,43
12062103;42,38
12062102;49,54
12062101;41,21
12062100;41,8
12062099;39,40
12062098;30,32
12062097;25,7
12062096;38,41
12062095;27,8
12062094;50,28
12062093;50,27
12062092;38,21
12062091;29,6
12062090;26,6
12062089;13,30
12062088;43,13
12062087;21,47
12062086;54,31
12062085;11,27
12062084;51,33
12062083;15,13
12062082;19,21
12062081;24,32
12062080;50,38
12062079;13,24
12062078;15,20
12062077;23,29
12062076;32,55
12062075;18,22
12062074;51,12
12062073;14,18
12062072;30,38
12062071;29,52
12062070;21,47
12062069;31,39
12062068;27,38
12062067;33,6
12062066;29,52
12062065;37,19
12062064;16,47
12062063;32,5
12062062;18,13
12062061;46,9
12062060;39,43
12062059;5,25
12062058;37,25
12062057;52,24
12062056;36,26
12062055;48,38
12062054;11,31
12062053;21,32
12062052;24,35
12062051;41,38
12062050;28,40
12062049;28,47
12062048;11,22
12062047;55,46
12062046;4,9
12062045;14,30
12062044;13,42
12062043;27,30
12062042;47,12
12062041;46,35
12062040;34,21
12062039;11,49
12062038;6,30
12062037;46,13
12062036;52,41
12062035;31,33
12062034;9,33
12062033;48,43
12062032;21,14
