5	8, 6, 52, 54, 46, 47, 40, 41, 35, 28, 27, 21, 22, 16, 18, 12, 13 	56, 11, 4, 5, 53, 55, 43, 36, 38, 34, 30, 31, 24, 26, 23, 14, 15	57, 10, 7, 48, 49, 50, 51, 44, 45, 37, 39, 32, 33, 29, 25, 20, 17	9, 42, 19	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
6	8, 52, 54, 55, 48, 47, 40, 41, 39, 34, 35, 21, 22, 16, 17, 19, 12	56, 9, 10, 53, 46, 43, 36, 33, 28, 30, 31, 25, 27, 18, 13, 14, 15	57, 11, 4, 5, 6, 7, 49, 51, 44, 45, 42, 37, 38, 32, 29, 20, 23	50, 24, 26	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
7	8, 11, 6, 48, 51, 45, 40, 37, 38, 33, 34, 29, 20, 21, 23, 19, 15	56, 9, 10, 5, 7, 49, 44, 46, 42, 36, 25, 26, 27, 22, 16, 17, 13	57, 4, 52, 53, 54, 55, 50, 47, 41, 43, 39, 35, 28, 24, 18, 12, 14	 32, 31, 30	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
8	4, 54, 48, 49, 45, 46, 43, 32, 34, 28, 25, 26, 20, 19, 12, 13, 14	56, 6, 7, 52, 53, 55, 44, 47, 41, 42, 37, 38, 29, 31, 27, 21, 22	57, 8, 9, 10, 11, 50, 40, 36, 39, 33, 35, 30, 24, 23, 17, 18, 15	5, 51, 16	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
9	56, 8, 11, 52, 55, 49, 51, 44, 42, 36, 37, 32, 20, 23, 18, 12, 13	10, 53, 54, 50, 46, 40, 43, 35, 30, 31, 24, 25, 26, 27, 21, 16, 19	57, 9, 4, 5, 6, 7, 48, 45, 47, 41, 38, 34, 29, 22, 17, 14, 15	39, 33, 28	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
10	50, 44, 45, 41, 36, 37, 38, 33, 34, 35, 30, 25, 27, 20, 16, 18, 12	8, 9, 10, 11, 53, 54, 51, 40, 39, 32, 28, 31, 24, 22, 23, 17, 14	57, 4, 5, 6, 7, 52, 55, 48, 49, 46, 47, 43, 29, 26, 21, 19, 15	56, 42, 13	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
11	56, 8, 4, 5, 7, 52, 53, 48, 44, 40, 42, 36, 39, 35, 26, 21, 12	 11, 54, 55, 50, 51, 45, 46, 43, 37, 33, 34, 25, 27, 22, 23, 18, 15 	57, 9, 10, 49, 47, 41, 38, 32, 28, 29, 30, 31, 20, 16, 17, 19, 13	6, 24, 14	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
12	8, 9, 11, 5, 52, 47, 43, 36, 39, 34, 28, 30, 24, 20, 12, 14, 15	56, 4, 7, 53, 48, 49, 51, 45, 40, 38, 32, 35, 31, 26, 22, 23, 13	57, 10, 6, 54, 55, 50, 44, 46, 42, 33, 25, 27, 21, 16, 17, 18, 19	41, 37, 29	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
13	56, 53, 49, 51, 41, 43, 36, 37, 39, 35, 29, 25, 21, 23, 16, 17, 14	4, 5, 6, 52, 46, 47, 42, 33, 28, 30, 31, 24, 26, 27, 20, 22, 15	57, 8, 9, 10, 11, 7, 54, 48, 50, 45, 40, 38, 32, 34, 19, 12, 13	 55, 44, 18	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
14	56, 6, 50, 51, 43, 39, 33, 29, 31, 24, 26, 20, 23, 16, 17, 18, 15	8, 9, 10, 48, 44, 41, 42, 36, 37, 34, 28, 30, 25, 21, 22, 13, 14	57, 4, 5, 7, 52, 53, 54, 55, 49, 45, 46, 40, 38, 32, 35, 27, 12	11, 47, 19	1	0	0	2019-08-07 14:42:34.457	2019-08-07 14:42:34.528
